MAE_train_LR,var_train_LR,MAE_val_LR,var_val_LR,MAE_train_DT,MAE_val_DT
5599.96,8.79,5600.14,28.24,5436.882786151834,5376.354532314681
3944.5,7.12,3944.56,20.66,4203.5889255970815,4157.2561084727095
3692.11,4.35,3692.37,15.68,2820.91885195127,2864.8533278271043
3544.26,4.94,3544.43,21.78,2532.888120311102,2578.700048179503
3533.31,5.12,3533.42,21.4,2491.8392697363893,2563.048592470232
3531.88,5.14,3531.98,21.24,2484.531557574506,2557.110468717737
3472.95,6.8,3473.16,20.17,2479.5658854704384,2554.556301190722
3464.65,6.79,3464.95,20.84,2479.48867781678,2553.1622616835293
3462.43,6.85,3462.73,20.56,2479.48867781678,2553.1622616835293
3462.41,6.82,3462.74,20.53,2479.48867781678,2553.1622616835293
